ParfumIndex,Parfum,Hersteller,Geschlecht,Score,Erscheinungsjahr,parfumeur
1785,. Summer Zara ,Zara,Männer,6.1,2020,Nicht angegeben
1786,Robinson Bear Atkinsons ,Atkinsons,Männer,7.3,2020,Nicht angegeben
1787,Homme Parfum Costume National ,Costume National,Männer,8.4,2020,Dominique Ropion
1788,Paradise Found for Men Roberto Cavalli ,Roberto Cavalli,Männer,7.7,2020,"Jean-Christophe Hérault,
IFF (International Flavors & Fragrances)"
1789,Romantic for Him Encounter Scents ,Encounter-Scents,Männer,8.0,2020,Nicht angegeben
1790,James Bond  pour Homme James Bond   Eau de Toilette,James Bond 007,Männer,6.7,2007,Nicht angegeben
1791,Daddy Aaron Terence Hughes ,Aaron Terence Hughes,Männer,8.1,2020,"Aaron Terence Hughes Markeninhaber, Parfümhersteller"
1792,His Aspiration Extreme Sport Edition The Dua Brand / Dua Fragrances ,The-Dua-Brand,Männer,8.5,2020,Nicht angegeben
1793,Follow Your Soul Men s.Oliver ,S Oliver,Männer,5.9,2020,Nicht angegeben
1794,Bold Instinct David Beckham  Eau de Toilette,David Beckham,Männer,7.1,2020,"Jean-Christophe Hérault,
IFF (International Flavors & Fragrances)"
1795,True Toni Gard  Eau de Toilette,Toni Gard,Männer,6.2,2020,Nicht angegeben
1796,Eternity for Men Cologne Calvin Klein ,Calvin Klein,Männer,5.5,2020,"Julie Massé,
Ralf Schwieger,
Véronique Nyberg"
1797,Kiji for Him きじ Annayake / アナヤケ ,Annayake,Männer,5.6,2020,Nicht angegeben
1798,Iris Torréfié Guerlain ,Guerlain,Unisex,7.8,2020,Delphine Jelk
1799,The Muse Zarkoperfume ,Zarko Perfume,Unisex,7.6,2020,Zarko Ahlmann Pavlov
1800,Aqua Allegoria Granada Salvia Guerlain ,Guerlain,Unisex,7.9,2020,"Thierry Wasser,
Delphine Jelk"
1801,Black Orchid Parfum Tom Ford ,Tom Ford,Unisex,8.2,2020,"Yann Vasnier,
Pierre Negrin,
Givaudan"
1802,Bohemian Lime Goldfield & Banks ,Goldfield  Banks,Unisex,7.9,2020,Carine Certain Boin
1803,Aqua Allegoria Orange Soleia Guerlain ,Guerlain,Unisex,7.9,2020,"Thierry Wasser,
Delphine Jelk"
1804,Rose Prick Tom Ford  Eau de Parfum,Tom Ford,Unisex,7.7,2020,Guillaume Flavigny
1805,Rouge Trafalgar Dior ,Dior,Unisex,7.6,2020,François Demachy
1806,L'Ombre des Merveilles Hermès ,Hermes,Unisex,7.9,2020,Christine Nagel
1807,Enclave Amouage ,Amouage,Unisex,8.1,2020,Julien Rasquinet
1808,Crimson Rocks Amouage ,Amouage,Unisex,7.6,2020,Domitille Michalon-Bertier
1809,Le Lion de Chanel Chanel ,Chanel,Unisex,8.2,2020,Olivier Polge
1810,Phtaloblue Tauer Perfumes ,Tauer,Unisex,6.9,2020,Andy Tauer
1811,Eau Capitale Diptyque  Eau de Parfum,Diptyque,Unisex,7.9,2020,Olivier Pescheux
1812,Meander Amouage ,Amouage,Unisex,7.7,2020,Mackenzie Reilly
1813,Chyprette Annette Neuffer ,Annette Neuffer,Unisex,8.4,2020,Annette Neuffer
1814,L'Heure Blanche Guerlain ,Guerlain,Unisex,7.9,2020,Delphine Jelk
1815,Unisex for Everybody Fragrance One ,Fragrance One,Unisex,7.3,2020,Elise Bénat
1816,Drakon Carner ,Carner,Unisex,8.2,2020,Jordi Fernández
1817,Sticky Fingers Francesca Bianchi ,Francesca Bianchi,Unisex,8.0,2020,Francesca Bianchi
